time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,7.88206977556e-08,1.74473354931e-06,10.0040165148,0.00108206875374,6.28305551502,0.0,9.15030508817e-06,0.000130667442133,0.133876751018,0.040460554655,-0.00688496207325,0.0,448.07089399621714,447.510965807172,445.5975051976734,448.8923022671508
0.12000000000000001,4.79686446142e-06,4.10468987686e-05,10.0149553276,0.00315691507765,6.28272724392,0.0,0.000185614434548,0.00141189301905,0.230734602775,0.0189785045685,-0.00278368701046,0.0,436.3637276886798,436.70599250733864,436.2238394492638,434.4271040070549
0.18,2.59713893624e-05,0.000194559280759,10.0315952226,0.00412891800206,6.28220937422,0.0,0.000550946789788,0.00381238421923,0.323905703264,0.00996667075131,-0.0241196874317,0.0,435.3766464892153,433.588236409231,435.4919797294097,434.73757883998536
0.23999999999999996,8.31031886999e-05,0.000508092566584,10.0533480553,0.00483860689692,6.28137810063,0.0,0.00146048442419,0.00670334900165,0.401163775122,0.0153128690786,0.00129310596899,0.0,428.4511598906803,430.6060061723135,429.7449712323907,430.19770623699105
0.3,0.000210115479568,0.0010217932341,10.0820276136,0.00571413092017,6.28188243901,0.0,0.00273802671486,0.0105183695228,0.554758471337,0.0131100810091,0.019782292785,0.0,453.5711465236316,455.0532870213474,453.3399592292815,453.16284290520576
0.36000000000000004,0.000395861605453,0.00176947310104,10.1174049675,0.0071681741018,6.28278000118,0.0,0.00334952725259,0.0145193398338,0.62445008516,0.0403132617334,0.00295400632034,0.0,428.5731918463314,427.1406044010141,426.0074840181446,428.32700130814055
0.4200000000000001,0.000604544032781,0.00279652048216,10.157678305,0.00918049550863,6.28270903385,0.0,0.00359949846729,0.0199446660996,0.717938077714,0.0143947976505,-0.0111038741804,0.0,435.36200895699494,434.1843891545796,436.81746029114663,434.6514645089133
0.48000000000000015,0.000830816466483,0.00419153887191,10.2043163385,0.0101903808702,0.000273611651973,0.0,0.00391668546646,0.0266537311003,0.836582268331,0.0213063338164,0.0388813185137,0.0,440.9778976054402,445.08720063722006,443.3429884847113,443.9103455185719
0.5400000000000001,0.00105411403305,0.00596466585651,10.2535389586,0.0112229450676,0.00242144237158,0.0,0.00334122006117,0.0325472479862,0.804194125641,0.00740596466225,0.0287801857243,0.0,393.9444577825328,393.01019004409756,393.96610212333366,392.6788835342977
0.6000000000000002,0.00119850972323,0.00814757851721,10.3044774564,0.0112281230834,0.00443805919329,0.0,0.00128269948378,0.040245275923,0.893688687903,-0.0215325538153,0.0418460475156,0.0,433.81342814798154,434.90949502507226,435.3380456809379,432.9101924691641
0.6600000000000003,0.00116391594002,0.0108100595155,10.3629975982,0.0098095778638,0.00760804514332,0.0,-0.00275817189467,0.0483519749908,1.05684564568,-0.0282361085764,0.0687630506376,0.0,455.7475549366503,457.8952575269828,458.12307845467484,457.58976639006573
0.7200000000000003,0.000795429000922,0.0139419410094,10.4329774281,0.00863720625339,0.0118801385627,0.0,-0.0100254797031,0.0558752908614,1.27559406881,-0.00619580488161,0.0756776636011,0.0,474.8261719610951,475.3597952656581,472.5033002454916,474.19921360924855
0.7800000000000004,-6.74566520728e-05,0.0174706728222,10.5123782115,0.00865631629693,0.0166759915554,0.0,-0.0192100992261,0.0617326093115,1.37098249353,0.0109095776438,0.0873057579091,0.0,436.2350865197059,437.21009367998005,436.74851546448417,438.1727216127918
0.8400000000000004,-0.00162208160977,0.0213744757184,10.5997622957,0.00926865936258,0.0218318832938,0.0,-0.033191515126,0.0684633580459,1.54159405945,0.00875946758422,0.0830328342035,0.0,460.7592364636579,460.4271341878993,460.78681749457513,460.6167013397725
0.9000000000000005,-0.00409303373378,0.0256791790207,10.6956358985,0.00979071806815,0.0273629631603,0.0,-0.0497204047624,0.07507944647,1.65402246664,0.00858374109713,0.106058964819,0.0,442.21252228966983,444.11201942175296,443.3170180362643,443.3024597456325
0.9600000000000005,-0.0076624194575,0.0303868886469,10.7977533715,0.0103976043967,0.0335262679252,0.0,-0.0698909618384,0.0818995128436,1.7497311629,0.0130133296879,0.0950418749129,0.0,438.27409380519816,437.3668200484124,438.6715696283837,439.0390944066607
1.0200000000000005,-0.012503791235,0.0354979235202,10.9037953379,0.0109833164956,0.0395919901647,0.0,-0.0920319549269,0.088531411282,1.7849250479,0.00230298397125,0.11105651195,0.0,418.47534498251645,419.87632799134076,419.39681476960385,418.4654859594684
1.0800000000000005,-0.019019389453,0.0410781024349,11.0175599204,0.0115927893127,0.0460056094616,0.0,-0.125926656287,0.0975189227465,2.00682905543,0.0224764822264,0.0969077334022,0.0,478.5193287023553,477.4501988969533,475.7189677501531,477.2609829382114
1.1400000000000006,-0.0275957589379,0.0471855853165,11.1419743047,0.0129734458937,0.0517898748183,0.0,-0.160561101533,0.106206370287,2.14004199081,0.0240588806874,0.0953791098294,0.0,451.0240658554521,450.90838386866386,451.90725263041605,452.03481257334505
1.2000000000000006,-0.0382756911537,0.0538196052563,11.2724902381,0.0145238781529,0.0577069592986,0.0,-0.19599842742,0.115071546912,2.21031847525,0.0291844482366,0.104411412488,0.0,431.71504948494334,432.48507785650577,432.106251645551,432.5382537913243
1.2600000000000007,-0.0513229711302,0.0610477391809,11.4092859333,0.0160333266736,0.0641774842843,0.0,-0.239581795369,0.126038584681,2.34921235801,0.0155571404197,0.113941128694,0.0,453.1730910944073,453.9483432942549,455.35234538110046,454.26103123966146
